name,odd_triangle_count,odd_slot_count,toggle_edges,mean_actual_delta,compressed_count,unchanged_count,expanded_count,delta_counts
sample_0050,0,0,"[[0, 1], [0, 5], [2, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0051,0,0,"[[0, 1], [0, 5], [2, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0052,0,0,"[[0, 1], [0, 5], [2, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0053,0,0,"[[0, 1], [0, 5], [2, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0054,0,0,"[[0, 1], [0, 5], [2, 7], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0055,0,0,"[[0, 1], [1, 2], [2, 3], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0056,0,0,"[[0, 1], [1, 2], [2, 3], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0057,0,0,"[[0, 1], [1, 2], [2, 3], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0058,0,0,"[[0, 1], [1, 2], [2, 8], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0059,0,0,"[[0, 1], [1, 2], [2, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0060,0,0,"[[0, 1], [1, 2], [2, 8], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0061,0,0,"[[0, 1], [1, 2], [3, 8], [4, 5], [5, 10]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0062,0,0,"[[0, 1], [1, 2], [3, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0063,0,0,"[[0, 1], [1, 2], [3, 8], [4, 5], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0064,0,0,"[[0, 1], [1, 7], [2, 3], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0065,0,0,"[[0, 1], [1, 7], [2, 3], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0066,0,0,"[[0, 1], [1, 7], [2, 3], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0067,0,0,"[[0, 1], [1, 7], [2, 8], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0068,0,0,"[[0, 1], [1, 7], [2, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0069,0,0,"[[0, 1], [1, 7], [2, 8], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0070,0,0,"[[0, 1], [1, 7], [3, 8], [4, 5], [5, 10]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0071,0,0,"[[0, 1], [1, 7], [3, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0072,0,0,"[[0, 1], [1, 7], [3, 8], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0073,0,0,"[[0, 1], [2, 3], [2, 7], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0074,0,0,"[[0, 1], [2, 3], [2, 7], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0075,0,0,"[[0, 1], [2, 3], [2, 7], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0076,0,0,"[[0, 1], [2, 7], [2, 8], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0077,0,0,"[[0, 1], [2, 7], [2, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0078,0,0,"[[0, 1], [2, 7], [2, 8], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0079,0,0,"[[0, 1], [2, 7], [3, 8], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0080,0,0,"[[0, 1], [2, 7], [3, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0081,0,0,"[[0, 1], [2, 7], [3, 8], [4, 5], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0082,0,0,"[[0, 4], [0, 6], [1, 2], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0083,0,0,"[[0, 4], [0, 6], [1, 2], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0084,0,0,"[[0, 4], [0, 6], [1, 2], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0085,0,0,"[[0, 4], [0, 6], [1, 2], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
