name,toggle_edges,toggle_count,odd_triangle_count,odd_triangle_slots,mean_actual_delta,compressed_count,unchanged_count,expanded_count,delta_counts
control_035,"[[1, 7], [4, 5], [4, 9], [9, 12], [12, 13]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",-0.4711111111111111,366,534,0,"{""-3"": 28, ""-2"": 2, ""-1"": 336, ""0"": 534}"
control_036,"[[0, 5], [3, 4], [5, 14], [8, 13], [8, 14]]",5,4,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",-0.32222222222222224,246,654,0,"{""-3"": 18, ""-2"": 8, ""-1"": 220, ""0"": 654}"
control_037,"[[0, 1], [2, 3], [2, 7], [3, 4], [7, 11]]",5,4,"[0, 3, 4, 5, 7, 9, 10, 11, 14]",-0.32222222222222224,246,654,0,"{""-3"": 18, ""-2"": 8, ""-1"": 220, ""0"": 654}"
control_038,"[[1, 6], [3, 8], [6, 13], [11, 12], [12, 13]]",5,4,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 14]",-0.3844444444444444,294,606,0,"{""-3"": 22, ""-2"": 8, ""-1"": 264, ""0"": 606}"
control_039,"[[3, 4], [3, 8], [4, 9], [6, 12], [10, 11]]",5,6,"[0, 1, 2, 4, 5, 6, 7, 10, 11, 12, 13, 14]",-0.41333333333333333,318,582,0,"{""-3"": 24, ""-2"": 6, ""-1"": 288, ""0"": 582}"
control_040,"[[0, 4], [0, 6], [2, 3], [4, 9], [5, 14]]",5,2,"[1, 2, 3, 4, 7, 9]",-0.23333333333333334,174,726,0,"{""-3"": 12, ""-2"": 12, ""-1"": 150, ""0"": 726}"
control_041,"[[4, 5], [8, 13], [9, 11], [12, 13], [13, 14]]",5,6,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-0.4711111111111111,366,534,0,"{""-3"": 28, ""-2"": 2, ""-1"": 336, ""0"": 534}"
control_042,"[[0, 5], [3, 8], [5, 14], [8, 14], [12, 13]]",5,4,"[0, 1, 2, 6, 7, 8, 12, 13, 14]",-0.32222222222222224,246,654,0,"{""-3"": 18, ""-2"": 8, ""-1"": 220, ""0"": 654}"
control_043,"[[2, 7], [3, 4], [8, 14], [10, 14], [12, 13]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 12, 13, 14]",-0.4111111111111111,318,582,0,"{""-3"": 24, ""-2"": 4, ""-1"": 290, ""0"": 582}"
control_044,"[[1, 6], [2, 3], [6, 13], [8, 14], [10, 11]]",5,6,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
control_045,"[[0, 6], [1, 2], [2, 3], [2, 7], [3, 8]]",5,4,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 14]",-0.3466666666666667,270,630,0,"{""-3"": 20, ""-2"": 2, ""-1"": 248, ""0"": 630}"
control_046,"[[0, 5], [3, 9], [4, 9], [5, 10], [11, 12]]",5,4,"[0, 1, 2, 3, 6, 7, 8, 9, 11, 12]",-0.35333333333333333,270,630,0,"{""-3"": 20, ""-2"": 8, ""-1"": 242, ""0"": 630}"
control_047,"[[0, 5], [1, 7], [6, 12], [9, 12], [13, 14]]",5,6,"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14]",-0.44222222222222224,342,558,0,"{""-3"": 26, ""-2"": 4, ""-1"": 312, ""0"": 558}"
control_048,"[[0, 1], [4, 5], [6, 12], [8, 14], [10, 11]]",5,6,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.4111111111111111,318,582,0,"{""-3"": 24, ""-2"": 4, ""-1"": 290, ""0"": 582}"
control_049,"[[0, 4], [2, 7], [3, 9], [4, 9], [6, 13]]",5,4,"[0, 1, 2, 3, 5, 6, 8, 10, 12, 13, 14]",-0.38222222222222224,294,606,0,"{""-3"": 22, ""-2"": 6, ""-1"": 266, ""0"": 606}"
control_050,"[[1, 7], [2, 8], [3, 8], [4, 5], [5, 14]]",5,2,"[0, 1, 2, 3, 6, 8]",-0.2311111111111111,174,726,0,"{""-3"": 12, ""-2"": 10, ""-1"": 152, ""0"": 726}"
control_051,"[[0, 5], [2, 7], [6, 13], [7, 10], [8, 13]]",5,6,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
control_052,"[[0, 4], [1, 7], [5, 10], [6, 13], [8, 13]]",5,4,"[0, 1, 2, 3, 6, 8, 12, 13, 14]",-0.32222222222222224,246,654,0,"{""-3"": 18, ""-2"": 8, ""-1"": 220, ""0"": 654}"
control_053,"[[0, 4], [2, 7], [3, 9], [4, 5], [10, 11]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14]",-0.43777777777777777,342,558,0,"{""-3"": 26, ""-1"": 316, ""0"": 558}"
control_054,"[[0, 4], [1, 2], [3, 8], [7, 11], [8, 13]]",5,4,"[0, 1, 5, 6, 7, 8, 10, 11, 13, 14]",-0.3511111111111111,270,630,0,"{""-3"": 20, ""-2"": 6, ""-1"": 244, ""0"": 630}"
control_055,"[[0, 6], [1, 2], [1, 6], [2, 7], [4, 9]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14]",-0.4066666666666667,318,582,0,"{""-3"": 24, ""-1"": 294, ""0"": 582}"
control_056,"[[0, 1], [4, 5], [5, 14], [6, 13], [8, 14]]",5,4,"[1, 2, 3, 6, 7, 8, 12, 13, 14]",-0.32222222222222224,246,654,0,"{""-3"": 18, ""-2"": 8, ""-1"": 220, ""0"": 654}"
control_057,"[[0, 1], [1, 2], [6, 12], [10, 11], [13, 14]]",5,6,"[0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
control_058,"[[0, 4], [1, 6], [2, 7], [3, 8], [7, 11]]",5,2,"[5, 7, 10, 11, 14]",-0.20444444444444446,150,750,0,"{""-3"": 10, ""-2"": 14, ""-1"": 126, ""0"": 750}"
control_059,"[[1, 6], [5, 14], [6, 13], [7, 11], [8, 13]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.4688888888888889,366,534,0,"{""-3"": 28, ""-1"": 338, ""0"": 534}"
control_060,"[[1, 7], [2, 7], [5, 14], [6, 12], [7, 10]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
