slot,local,half_local,best_odd_cycle_len_at_slot,internal_g60_half_flip_distance,signed_distance,baseline_distance,actual_delta_signed_minus_baseline,shortcut_delta_best_odd_minus_internal
4,55,25,3,2,2,2,0,1
4,56,26,3,3,3,3,0,0
4,57,27,3,4,3,4,-1,-1
4,58,28,3,4,3,4,-1,-1
4,59,29,3,3,3,3,0,0
5,0,30,3,4,3,4,-1,-1
5,1,31,3,3,3,3,0,0
5,2,32,3,2,2,2,0,1
5,3,33,3,3,3,3,0,0
5,4,34,3,4,3,4,-1,-1
5,5,35,3,6,3,6,-3,-3
5,6,36,3,4,3,4,-1,-1
5,7,37,3,2,2,2,0,1
5,8,38,3,2,2,2,0,1
5,9,39,3,4,3,4,-1,-1
5,10,40,3,2,2,2,0,1
5,11,41,3,3,3,3,0,0
5,12,42,3,4,3,4,-1,-1
5,13,43,3,4,3,4,-1,-1
5,14,44,3,3,3,3,0,0
5,15,45,3,2,2,2,0,1
5,16,46,3,3,3,3,0,0
5,17,47,3,4,3,4,-1,-1
5,18,48,3,4,3,4,-1,-1
5,19,49,3,3,3,3,0,0
5,20,50,3,2,2,2,0,1
5,21,51,3,3,3,3,0,0
5,22,52,3,4,3,4,-1,-1
5,23,53,3,4,3,4,-1,-1
5,24,54,3,3,3,3,0,0
5,25,55,3,2,2,2,0,1
5,26,56,3,3,3,3,0,0
5,27,57,3,4,3,4,-1,-1
5,28,58,3,4,3,4,-1,-1
5,29,59,3,3,3,3,0,0
5,30,0,3,4,3,4,-1,-1
5,31,1,3,3,3,3,0,0
5,32,2,3,2,2,2,0,1
5,33,3,3,3,3,3,0,0
5,34,4,3,4,3,4,-1,-1
5,35,5,3,6,3,6,-3,-3
5,36,6,3,4,3,4,-1,-1
5,37,7,3,2,2,2,0,1
5,38,8,3,2,2,2,0,1
5,39,9,3,4,3,4,-1,-1
5,40,10,3,2,2,2,0,1
5,41,11,3,3,3,3,0,0
5,42,12,3,4,3,4,-1,-1
5,43,13,3,4,3,4,-1,-1
5,44,14,3,3,3,3,0,0
5,45,15,3,2,2,2,0,1
5,46,16,3,3,3,3,0,0
5,47,17,3,4,3,4,-1,-1
5,48,18,3,4,3,4,-1,-1
5,49,19,3,3,3,3,0,0
5,50,20,3,2,2,2,0,1
5,51,21,3,3,3,3,0,0
5,52,22,3,4,3,4,-1,-1
5,53,23,3,4,3,4,-1,-1
5,54,24,3,3,3,3,0,0
5,55,25,3,2,2,2,0,1
5,56,26,3,3,3,3,0,0
5,57,27,3,4,3,4,-1,-1
5,58,28,3,4,3,4,-1,-1
5,59,29,3,3,3,3,0,0
6,0,30,3,4,3,4,-1,-1
6,1,31,3,3,3,3,0,0
6,2,32,3,2,2,2,0,1
6,3,33,3,3,3,3,0,0
6,4,34,3,4,3,4,-1,-1
6,5,35,3,6,3,6,-3,-3
6,6,36,3,4,3,4,-1,-1
6,7,37,3,2,2,2,0,1
6,8,38,3,2,2,2,0,1
6,9,39,3,4,3,4,-1,-1
6,10,40,3,2,2,2,0,1
6,11,41,3,3,3,3,0,0
6,12,42,3,4,3,4,-1,-1
6,13,43,3,4,3,4,-1,-1
6,14,44,3,3,3,3,0,0
6,15,45,3,2,2,2,0,1
6,16,46,3,3,3,3,0,0
6,17,47,3,4,3,4,-1,-1
6,18,48,3,4,3,4,-1,-1
6,19,49,3,3,3,3,0,0
6,20,50,3,2,2,2,0,1
6,21,51,3,3,3,3,0,0
6,22,52,3,4,3,4,-1,-1
6,23,53,3,4,3,4,-1,-1
6,24,54,3,3,3,3,0,0
6,25,55,3,2,2,2,0,1
6,26,56,3,3,3,3,0,0
6,27,57,3,4,3,4,-1,-1
6,28,58,3,4,3,4,-1,-1
6,29,59,3,3,3,3,0,0
6,30,0,3,4,3,4,-1,-1
6,31,1,3,3,3,3,0,0
6,32,2,3,2,2,2,0,1
6,33,3,3,3,3,3,0,0
6,34,4,3,4,3,4,-1,-1
6,35,5,3,6,3,6,-3,-3
6,36,6,3,4,3,4,-1,-1
6,37,7,3,2,2,2,0,1
6,38,8,3,2,2,2,0,1
6,39,9,3,4,3,4,-1,-1
6,40,10,3,2,2,2,0,1
6,41,11,3,3,3,3,0,0
6,42,12,3,4,3,4,-1,-1
6,43,13,3,4,3,4,-1,-1
6,44,14,3,3,3,3,0,0
6,45,15,3,2,2,2,0,1
6,46,16,3,3,3,3,0,0
6,47,17,3,4,3,4,-1,-1
6,48,18,3,4,3,4,-1,-1
6,49,19,3,3,3,3,0,0
6,50,20,3,2,2,2,0,1
6,51,21,3,3,3,3,0,0
6,52,22,3,4,3,4,-1,-1
6,53,23,3,4,3,4,-1,-1
6,54,24,3,3,3,3,0,0
6,55,25,3,2,2,2,0,1
6,56,26,3,3,3,3,0,0
6,57,27,3,4,3,4,-1,-1
6,58,28,3,4,3,4,-1,-1
6,59,29,3,3,3,3,0,0
7,0,30,3,4,3,4,-1,-1
7,1,31,3,3,3,3,0,0
7,2,32,3,2,2,2,0,1
7,3,33,3,3,3,3,0,0
7,4,34,3,4,3,4,-1,-1
7,5,35,3,6,3,6,-3,-3
7,6,36,3,4,3,4,-1,-1
7,7,37,3,2,2,2,0,1
7,8,38,3,2,2,2,0,1
7,9,39,3,4,3,4,-1,-1
7,10,40,3,2,2,2,0,1
7,11,41,3,3,3,3,0,0
7,12,42,3,4,3,4,-1,-1
7,13,43,3,4,3,4,-1,-1
7,14,44,3,3,3,3,0,0
7,15,45,3,2,2,2,0,1
7,16,46,3,3,3,3,0,0
7,17,47,3,4,3,4,-1,-1
7,18,48,3,4,3,4,-1,-1
7,19,49,3,3,3,3,0,0
7,20,50,3,2,2,2,0,1
7,21,51,3,3,3,3,0,0
7,22,52,3,4,3,4,-1,-1
7,23,53,3,4,3,4,-1,-1
7,24,54,3,3,3,3,0,0
7,25,55,3,2,2,2,0,1
7,26,56,3,3,3,3,0,0
7,27,57,3,4,3,4,-1,-1
7,28,58,3,4,3,4,-1,-1
7,29,59,3,3,3,3,0,0
7,30,0,3,4,3,4,-1,-1
7,31,1,3,3,3,3,0,0
7,32,2,3,2,2,2,0,1
7,33,3,3,3,3,3,0,0
7,34,4,3,4,3,4,-1,-1
7,35,5,3,6,3,6,-3,-3
7,36,6,3,4,3,4,-1,-1
7,37,7,3,2,2,2,0,1
7,38,8,3,2,2,2,0,1
7,39,9,3,4,3,4,-1,-1
7,40,10,3,2,2,2,0,1
7,41,11,3,3,3,3,0,0
7,42,12,3,4,3,4,-1,-1
7,43,13,3,4,3,4,-1,-1
7,44,14,3,3,3,3,0,0
7,45,15,3,2,2,2,0,1
7,46,16,3,3,3,3,0,0
7,47,17,3,4,3,4,-1,-1
7,48,18,3,4,3,4,-1,-1
7,49,19,3,3,3,3,0,0
7,50,20,3,2,2,2,0,1
7,51,21,3,3,3,3,0,0
7,52,22,3,4,3,4,-1,-1
7,53,23,3,4,3,4,-1,-1
7,54,24,3,3,3,3,0,0
7,55,25,3,2,2,2,0,1
7,56,26,3,3,3,3,0,0
7,57,27,3,4,3,4,-1,-1
7,58,28,3,4,3,4,-1,-1
7,59,29,3,3,3,3,0,0
8,0,30,3,4,3,4,-1,-1
8,1,31,3,3,3,3,0,0
8,2,32,3,2,2,2,0,1
8,3,33,3,3,3,3,0,0
8,4,34,3,4,3,4,-1,-1
8,5,35,3,6,3,6,-3,-3
8,6,36,3,4,3,4,-1,-1
8,7,37,3,2,2,2,0,1
8,8,38,3,2,2,2,0,1
8,9,39,3,4,3,4,-1,-1
8,10,40,3,2,2,2,0,1
8,11,41,3,3,3,3,0,0
8,12,42,3,4,3,4,-1,-1
8,13,43,3,4,3,4,-1,-1
8,14,44,3,3,3,3,0,0
8,15,45,3,2,2,2,0,1
8,16,46,3,3,3,3,0,0
8,17,47,3,4,3,4,-1,-1
8,18,48,3,4,3,4,-1,-1
8,19,49,3,3,3,3,0,0
8,20,50,3,2,2,2,0,1
8,21,51,3,3,3,3,0,0
8,22,52,3,4,3,4,-1,-1
8,23,53,3,4,3,4,-1,-1
8,24,54,3,3,3,3,0,0
8,25,55,3,2,2,2,0,1
8,26,56,3,3,3,3,0,0
8,27,57,3,4,3,4,-1,-1
8,28,58,3,4,3,4,-1,-1
8,29,59,3,3,3,3,0,0
8,30,0,3,4,3,4,-1,-1
8,31,1,3,3,3,3,0,0
8,32,2,3,2,2,2,0,1
8,33,3,3,3,3,3,0,0
8,34,4,3,4,3,4,-1,-1
8,35,5,3,6,3,6,-3,-3
8,36,6,3,4,3,4,-1,-1
8,37,7,3,2,2,2,0,1
8,38,8,3,2,2,2,0,1
8,39,9,3,4,3,4,-1,-1
8,40,10,3,2,2,2,0,1
8,41,11,3,3,3,3,0,0
8,42,12,3,4,3,4,-1,-1
8,43,13,3,4,3,4,-1,-1
8,44,14,3,3,3,3,0,0
8,45,15,3,2,2,2,0,1
8,46,16,3,3,3,3,0,0
8,47,17,3,4,3,4,-1,-1
8,48,18,3,4,3,4,-1,-1
8,49,19,3,3,3,3,0,0
8,50,20,3,2,2,2,0,1
8,51,21,3,3,3,3,0,0
8,52,22,3,4,3,4,-1,-1
8,53,23,3,4,3,4,-1,-1
8,54,24,3,3,3,3,0,0
8,55,25,3,2,2,2,0,1
8,56,26,3,3,3,3,0,0
8,57,27,3,4,3,4,-1,-1
8,58,28,3,4,3,4,-1,-1
8,59,29,3,3,3,3,0,0
9,0,30,5,4,4,4,0,1
9,1,31,5,3,3,3,0,2
9,2,32,5,2,2,2,0,3
9,3,33,5,3,3,3,0,2
9,4,34,5,4,4,4,0,1
9,5,35,5,6,5,6,-1,-1
9,6,36,5,4,4,4,0,1
9,7,37,5,2,2,2,0,3
9,8,38,5,2,2,2,0,3
9,9,39,5,4,4,4,0,1
9,10,40,5,2,2,2,0,3
9,11,41,5,3,3,3,0,2
9,12,42,5,4,4,4,0,1
9,13,43,5,4,4,4,0,1
9,14,44,5,3,3,3,0,2
9,15,45,5,2,2,2,0,3
9,16,46,5,3,3,3,0,2
9,17,47,5,4,4,4,0,1
9,18,48,5,4,4,4,0,1
9,19,49,5,3,3,3,0,2
9,20,50,5,2,2,2,0,3
9,21,51,5,3,3,3,0,2
9,22,52,5,4,4,4,0,1
9,23,53,5,4,4,4,0,1
9,24,54,5,3,3,3,0,2
9,25,55,5,2,2,2,0,3
9,26,56,5,3,3,3,0,2
9,27,57,5,4,4,4,0,1
9,28,58,5,4,4,4,0,1
9,29,59,5,3,3,3,0,2
9,30,0,5,4,4,4,0,1
9,31,1,5,3,3,3,0,2
9,32,2,5,2,2,2,0,3
9,33,3,5,3,3,3,0,2
9,34,4,5,4,4,4,0,1
9,35,5,5,6,5,6,-1,-1
9,36,6,5,4,4,4,0,1
9,37,7,5,2,2,2,0,3
9,38,8,5,2,2,2,0,3
9,39,9,5,4,4,4,0,1
9,40,10,5,2,2,2,0,3
9,41,11,5,3,3,3,0,2
9,42,12,5,4,4,4,0,1
9,43,13,5,4,4,4,0,1
9,44,14,5,3,3,3,0,2
9,45,15,5,2,2,2,0,3
9,46,16,5,3,3,3,0,2
9,47,17,5,4,4,4,0,1
9,48,18,5,4,4,4,0,1
9,49,19,5,3,3,3,0,2
9,50,20,5,2,2,2,0,3
9,51,21,5,3,3,3,0,2
9,52,22,5,4,4,4,0,1
9,53,23,5,4,4,4,0,1
9,54,24,5,3,3,3,0,2
9,55,25,5,2,2,2,0,3
9,56,26,5,3,3,3,0,2
9,57,27,5,4,4,4,0,1
9,58,28,5,4,4,4,0,1
9,59,29,5,3,3,3,0,2
10,0,30,3,4,3,4,-1,-1
10,1,31,3,3,3,3,0,0
10,2,32,3,2,2,2,0,1
10,3,33,3,3,3,3,0,0
10,4,34,3,4,3,4,-1,-1
10,5,35,3,6,3,6,-3,-3
10,6,36,3,4,3,4,-1,-1
10,7,37,3,2,2,2,0,1
10,8,38,3,2,2,2,0,1
10,9,39,3,4,3,4,-1,-1
10,10,40,3,2,2,2,0,1
10,11,41,3,3,3,3,0,0
10,12,42,3,4,3,4,-1,-1
10,13,43,3,4,3,4,-1,-1
10,14,44,3,3,3,3,0,0
10,15,45,3,2,2,2,0,1
10,16,46,3,3,3,3,0,0
10,17,47,3,4,3,4,-1,-1
10,18,48,3,4,3,4,-1,-1
10,19,49,3,3,3,3,0,0
10,20,50,3,2,2,2,0,1
10,21,51,3,3,3,3,0,0
10,22,52,3,4,3,4,-1,-1
10,23,53,3,4,3,4,-1,-1
10,24,54,3,3,3,3,0,0
10,25,55,3,2,2,2,0,1
10,26,56,3,3,3,3,0,0
10,27,57,3,4,3,4,-1,-1
10,28,58,3,4,3,4,-1,-1
10,29,59,3,3,3,3,0,0
10,30,0,3,4,3,4,-1,-1
10,31,1,3,3,3,3,0,0
10,32,2,3,2,2,2,0,1
10,33,3,3,3,3,3,0,0
10,34,4,3,4,3,4,-1,-1
10,35,5,3,6,3,6,-3,-3
10,36,6,3,4,3,4,-1,-1
10,37,7,3,2,2,2,0,1
10,38,8,3,2,2,2,0,1
10,39,9,3,4,3,4,-1,-1
10,40,10,3,2,2,2,0,1
10,41,11,3,3,3,3,0,0
10,42,12,3,4,3,4,-1,-1
10,43,13,3,4,3,4,-1,-1
10,44,14,3,3,3,3,0,0
10,45,15,3,2,2,2,0,1
10,46,16,3,3,3,3,0,0
10,47,17,3,4,3,4,-1,-1
10,48,18,3,4,3,4,-1,-1
10,49,19,3,3,3,3,0,0
10,50,20,3,2,2,2,0,1
10,51,21,3,3,3,3,0,0
10,52,22,3,4,3,4,-1,-1
10,53,23,3,4,3,4,-1,-1
10,54,24,3,3,3,3,0,0
10,55,25,3,2,2,2,0,1
10,56,26,3,3,3,3,0,0
10,57,27,3,4,3,4,-1,-1
10,58,28,3,4,3,4,-1,-1
10,59,29,3,3,3,3,0,0
11,0,30,5,4,4,4,0,1
11,1,31,5,3,3,3,0,2
11,2,32,5,2,2,2,0,3
