name,is_neutralizer,toggle_edges,mean_actual_delta,compressed_count,unchanged_count,expanded_count,delta_counts,signed_distance_counts
zero_odd_115,False,"[[0, 4], [1, 2], [1, 6], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_116,False,"[[0, 4], [1, 2], [1, 6], [3, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_117,False,"[[0, 4], [1, 6], [1, 7], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_118,False,"[[0, 4], [1, 6], [1, 7], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_119,False,"[[0, 4], [1, 6], [1, 7], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_120,False,"[[0, 4], [1, 6], [1, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_121,False,"[[0, 4], [1, 6], [1, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_122,False,"[[0, 4], [1, 6], [1, 7], [2, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_123,False,"[[0, 4], [1, 6], [1, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_124,False,"[[0, 4], [1, 6], [1, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_125,False,"[[0, 4], [1, 6], [1, 7], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_126,False,"[[0, 4], [1, 6], [2, 3], [2, 7], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_127,False,"[[0, 4], [1, 6], [2, 3], [2, 7], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_128,False,"[[0, 4], [1, 6], [2, 3], [2, 7], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_129,False,"[[0, 4], [1, 6], [2, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_130,False,"[[0, 4], [1, 6], [2, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_131,False,"[[0, 4], [1, 6], [2, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_132,False,"[[0, 4], [1, 6], [2, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_133,False,"[[0, 4], [1, 6], [2, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_134,False,"[[0, 4], [1, 6], [2, 7], [3, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_135,False,"[[0, 5], [0, 6], [1, 2], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_136,False,"[[0, 5], [0, 6], [1, 2], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_137,False,"[[0, 5], [0, 6], [1, 2], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_138,False,"[[0, 5], [0, 6], [1, 2], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_139,False,"[[0, 5], [0, 6], [1, 2], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_140,False,"[[0, 5], [0, 6], [1, 2], [2, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_141,False,"[[0, 5], [0, 6], [1, 2], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_142,False,"[[0, 5], [0, 6], [1, 2], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_143,False,"[[0, 5], [0, 6], [1, 2], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_144,False,"[[0, 5], [0, 6], [1, 7], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_145,False,"[[0, 5], [0, 6], [1, 7], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_146,False,"[[0, 5], [0, 6], [1, 7], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_147,False,"[[0, 5], [0, 6], [1, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_148,False,"[[0, 5], [0, 6], [1, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_149,False,"[[0, 5], [0, 6], [1, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_150,False,"[[0, 5], [0, 6], [1, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_151,False,"[[0, 5], [0, 6], [1, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_152,False,"[[0, 5], [0, 6], [1, 7], [3, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_153,False,"[[0, 5], [0, 6], [2, 3], [2, 7], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_154,False,"[[0, 5], [0, 6], [2, 3], [2, 7], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_155,False,"[[0, 5], [0, 6], [2, 3], [2, 7], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_156,False,"[[0, 5], [0, 6], [2, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_157,False,"[[0, 5], [0, 6], [2, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_158,False,"[[0, 5], [0, 6], [2, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_159,False,"[[0, 5], [0, 6], [2, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_160,False,"[[0, 5], [0, 6], [2, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_161,False,"[[0, 5], [0, 6], [2, 7], [3, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_162,False,"[[0, 5], [1, 2], [1, 6], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
